title,main_category_manual,title_norm
"Học Công Nghệ Thông Tin, Rồi Làm Gì?","Công nghệ - Kỹ thuật","hoc cong nghe thong tin roi lam gi"
"Học Quản Trị Kinh Doanh – Rồi Làm Gì?","Kinh doanh - Kinh tế","hoc quan tri kinh doanh roi lam gi"
"1/14","Văn học - Tiểu thuyết","1 14"
"10 Nghề Triển Vọng Không Thể Thay Thế Bởi AI","Công nghệ - Kỹ thuật","10 nghe trien vong khong the thay the boi ai"
"10 Quy Luật Cuộc Sống","Kỹ năng sống - Phát triển bản thân","10 quy luat cuoc song"
"10 Tôn giáo lớn trên thé̂ giới","Tôn giáo - Tâm linh","10 ton giao lon tren the gioi"
"10 Tập Nghìn Lẻ Một Đêm","Văn học - Tiểu thuyết","10 tap nghin le mot dem"
"10 Vạn Câu Hỏi Vì Sao – Cơ Thể Người","Khoa học tự nhiên","10 van cau hoi vi sao co the nguoi"
"10 Vạn Câu Hỏi Vì Sao – Hoá học","Khoa học tự nhiên","10 van cau hoi vi sao hoa hoc"
"10 Vạn Câu Hỏi Vì Sao – Khoa Học Công Trình","Khoa học tự nhiên","10 van cau hoi vi sao khoa hoc cong trinh"
"10 Vạn Câu Hỏi Vì Sao – Khoa Học Môi Trường","Khoa học tự nhiên","10 van cau hoi vi sao khoa hoc moi truong"
"10 Vạn Câu Hỏi Vì Sao – Khoa Học Vũ Trụ","Khoa học tự nhiên","10 van cau hoi vi sao khoa hoc vu tru"
"10 Vạn Câu Hỏi Vì Sao – Thực Vật","Khoa học tự nhiên","10 van cau hoi vi sao thuc vat"
"10 Vạn Câu Hỏi Vì Sao – Tin Học","Công nghệ - Kỹ thuật","10 van cau hoi vi sao tin hoc"
"10 Vạn Câu Hỏi Vì Sao – Toán Học","Khoa học tự nhiên","10 van cau hoi vi sao toan hoc"
"10 Vạn Câu Hỏi Vì Sao – Trái Đất","Khoa học tự nhiên","10 van cau hoi vi sao trai dat"
"10 Vạn Câu Hỏi Vì Sao – Vật lý","Khoa học tự nhiên","10 van cau hoi vi sao vat ly"
"10 Vạn Câu Hỏi Vì Sao – Động Vật","Khoa học tự nhiên","10 van cau hoi vi sao dong vat"
"10 lời khuyên khởi nghiệp: các bước cơ bản để xây dựng thành công một doanh nghiệp","Kinh doanh - Kinh tế","10 loi khuyen khoi nghiep cac buoc co ban de xay dung thanh cong mot doanh nghiep"
"10 năm phấn đấu, xây dựng và trưởng thành","Lịch sử","10 nam phan dau xay dung va truong thanh"
"10 năm đầu tư nước ngoài tại Thành phố Hồ Chí Minh","Kinh doanh - Kinh tế","10 nam dau tu nuoc ngoai tai thanh pho ho chi minh"
"10 thé̂ kỉ bàn luận vè̂ văn chương","Văn học - Thơ - Tản văn","10 the ki ban luan ve van chuong"
"100 Tình Huống Giao Tiếp Tiếng Anh Hiện Đại","Giáo dục - Giáo trình","100 tinh huong giao tiep tieng anh hien dai"
"100 Tín Hiệu – Miyatsuki Arata","Văn học - Tiểu thuyết","100 tin hieu miyatsuki arata"
"100 kỹ năng an toàn trong cuộc sống dành cho thanh thiếu niên","Kỹ năng sống - Phát triển bản thân","100 ky nang an toan trong cuoc song danh cho thanh thieu nien"
"100 lời khuyên đầu tư bất động sản khôn ngoan nhất : Bài học kinh nghiệm từ những chuyên gia bất động sản hàng đầu thế giới","Kinh doanh - Kinh tế","100 loi khuyen dau tu bat dong san khon ngoan nhat bai hoc kinh nghiem tu nhung chuyen gia bat dong san hang dau the gioi"
"100 năm lược sử doanh nhân Việt","Lịch sử","100 nam luoc su doanh nhan viet"
"100 truyện ngắn","Văn học - Thơ - Tản văn","100 truyen ngan"
"1000 câu hỏi tìm hiểu về lịch sử Việt Nam & truyền thống đoàn TNCS Hồ Chí Minh","Lịch sử","1000 cau hoi tim hieu ve lich su viet nam truyen thong doan tnes ho chi minh"
"1001 truyện ngắn","Văn học - Thơ - Tản văn","1001 truyen ngan"
"101101 Mẹo Đối Phó Với Đồng Nghiệp","Kỹ năng sống - Phát triển bản thân","101101 meo doi pho voi dong nghiep"
"101 Điều Trường Học Chưa Bao Giờ Dạy Bạn","Kỹ năng sống - Phát triển bản thân","101 dieu truong hoc chua bao gio day ban"
"12 Môn Đồ của Nhà Lãnh Đạo","Kỹ năng sống - Phát triển bản thân","12 mon do cua nha lanh dao"
"12 Tuyệt Kỹ Bán Hàng","Kinh doanh - Kinh tế","12 tuyet ky ban hang"
"126 trò chơi vui tập thể chọn lọc","Thiếu nhi","126 tro choi vui tap the chon loc"
"1300 mẫu câu tiếng Anh thông dung trong giao tiếp hằng ngày","Giáo dục - Giáo trình","1300 mau cau tieng anh thong dung trong giao tiep hang ngay"
"136 đề mục ngữ pháp tiếng Anh thông dụng","Giáo dục - Giáo trình","136 de muc ngu phap tieng anh thong dung"
"14 Articles on Non-Financial Aspects of Business, Mostly Marketing","Kinh doanh - Kinh tế","14 articles on non financial aspects of business mostly marketing"
"14 Bước Trong Tiếp Thị MLM","Kinh doanh - Kinh tế","14 buoc trong tiep thi mlm"
"14 Ngày Đẫm Máu","Kinh dị - Thriller","14 ngay dam mau"
"15 (i.e. mười lăm) truyện trinh thám","Trinh thám - Pháp y","15 i e muoi lam truyen trinh tham"
"15 năm kết nối vòng tay","Lịch sử","15 nam ket noi vong tay"
"17 vấn đề của doanh nghiệp","Kinh doanh - Kinh tế","17 van de cua doanh nghiep"
"17 Âm 1 – Doo Vandenis","Văn học - Tiểu thuyết","17 am 1 doo vandenis"
"175 thí nghiệm khoa học","Khoa học tự nhiên","175 thi nghiem khoa hoc"
"1987","Văn học - Tiểu thuyết","1987"
"2 trong 1 – Sách 1: Tâm Lý Học Của Thói Quen – Sách 2: Kỹ Thuật Thiên Tài Nâng Cao","Tâm lý học","2 trong 1 sach 1 tam ly hoc cua thoi quen sach 2 ky thuat thien tai nang cao"
"20 năm xây dựng và phát triển","Lịch sử","20 nam xay dung va phat trien"
"20 nǎm xây dựng hải hậu điẻ̂n hình vǎn hoá huyện, 1978-1998","Khoa học xã hội","20 nam xay dung hai hau dien hinh van hoa huyen 1978 1998"
"2010第6屆台語文學國際學術硏討會論文集","Văn học - Thơ - Tản văn","2010第6屆台語文學國際學術硏討會論文集"
"202 câu thành ngữ tiếng Anh giao tiếp thông dụng","Giáo dục - Giáo trình","202 cau thanh ngu tieng anh giao tiep thong dung"
"21 Cách Học Tiếng Anh Du Kích (song ngữ)","Giáo dục - Giáo trình","21 cach hoc tieng anh du kich song ngu"
"21 Phẩm Chất Vàng Của Nhà Lãnh Đạo","Kỹ năng sống - Phát triển bản thân","21 pham chat vang cua nha lanh dao"
"22 năm đào tạo sau đại học","Giáo dục - Giáo trình","22 nam dao tao sau dai hoc"
"23 Vấn Đề Họ Không Nói Với Bạn Về Chủ Nghĩa Tư Bản","Kinh doanh - Kinh tế","23 van de ho khong noi voi ban ve chu nghia tu ban"
"25 năm nhà xuất bản Thuận Hóa, 1981-2006","Văn học - Thơ - Tản văn","25 nam nha xuat ban thuan hoa 1981 2006"
"25 phuong phap de tu tin","Kỹ năng sống - Phát triển bản thân","25 phuong phap de tu tin"
"25 phương pháp để tự tin","Kỹ năng sống - Phát triển bản thân","25 phuong phap de tu tin"
"25 thói quen tốt để thành công","Kỹ năng sống - Phát triển bản thân","25 thoi quen tot de thanh cong"
"25 Độ Âm","Văn học - Tiểu thuyết","25 do am"
"27 Thách Thức Của Nhà Quản Lý","Kinh doanh - Kinh tế","27 thach thuc cua nha quan ly"
"27 bài học về tinh thần lạc quan","Kỹ năng sống - Phát triển bản thân","27 bai hoc ve tinh than lac quan"
"27000 Vietnamese Words Dictionary With Definitions","Giáo dục - Giáo trình","27000 vietnamese words dictionary with definitions"
"30 Ngày Làm Bạn Cảm Xúc: đã đến lúc bạn cần chăm sóc cho cảm xúc của mình","Tâm lý học","30 ngay lam ban cam xuc da den luc ban can cham soc cho cam xuc cua minh"
"30 Tuổi Chưa Giàu Thì Cũng Đừng Nghèo","Kinh doanh - Kinh tế","30 tuoi chua giau thi cung dung ngheo"
"30 Tuổi – Mọi Thứ Chỉ Mới Bắt Đầu","Kỹ năng sống - Phát triển bản thân","30 tuoi moi thu chi moi bat dau"
"30 chủ đề từ vựng tiếng Anh","Giáo dục - Giáo trình","30 chu de tu vung tieng anh"
"30 năm nhà xuá̂t bản Văn hóa dân tộc, từ Mỏ Bạch đến Hà Nội, 20/7/1976-20/7/2006","Khoa học xã hội","30 nam nha xuat ban van hoa dan toc tu mo bach den ha noi 20 7 1976 20 7 2006"
"300 năm Sài Gòn - Thành phố Hồ Chí Minh","Lịch sử","300 nam sai gon thanh pho ho chi minh"
"31 ngày bán hàng thực chiến","Kinh doanh - Kinh tế","31 ngay ban hang thuc chien"
"325.000Frăng","Văn học - Tiểu thuyết","325 000frang"
"35 năm khoa học xã hội Việt Nam (1955-1990).","Khoa học xã hội","35 nam khoa hoc xa hoi viet nam 1955 1990"
"35 năm Đài truyè̂n hình Việt Nam, 7/9/1970--7/9/2005","Lịch sử","35 nam dai truyen hinh viet nam 7 9 1970 7 9 2005"
"365 bài học tâm lý","Tâm lý học","365 bai hoc tam ly"
"38 Lá-Bức Thư Rockefeller Gửi Cho Con Trai","Kinh doanh - Kinh tế","38 la buc thu rockefeller gui cho con trai"
"40+ Bí Kíp Chinh Phục Khách Hàng Qua Điện Thoại","Kinh doanh - Kinh tế","40 bi kip chinh phuc khach hang qua dien thoai"
"400 sơ đồ kế toán tài chính","Kinh doanh - Kinh tế","400 so do ke toan tai chinh"
"44 Năm Văn Học Việt Nam Hải Ngoại (1975-2019) - Tập 2","Văn học - Thơ - Tản văn","44 nam van hoc viet nam hai ngoai 1975 2019 tap 2"
"44 Năm Văn Học Việt Nam Hải Ngoại (1975-2019) - Tập 7","Văn học - Thơ - Tản văn","44 nam van hoc viet nam hai ngoai 1975 2019 tap 7"
"45 Người Lính – Alexandre Dumas","Văn học - Tiểu thuyết","45 nguoi linh alexandre dumas"
"45 năm Trường Đại học văn hóa Hà Nội","Khoa học xã hội","45 nam truong dai hoc van hoa ha noi"
"45 năm kinh tế Việt Nam, 1945-1990","Kinh doanh - Kinh tế","45 nam kinh te viet nam 1945 1990"
"4MK","Trinh thám - Pháp y","4mk"
"4MK Thriller 1 – J. D. Barker","Trinh thám - Pháp y","4mk thriller 1 j d barker"
"4MK Thriller 2: Cái Chết Thứ Năm","Trinh thám - Pháp y","4mk thriller 2 cai chet thu nam"
"4MK Thriller 3: Đứa Trẻ Thứ Sáu","Trinh thám - Pháp y","4mk thriller 3 dua tre thu sau"
"5 Ngôn Ngữ Tình Yêu: Dành Cho Những Người Chỉ Có Một Mình","Ngôn tình - Lãng mạn","5 ngon ngu tinh yeu danh cho nhung nguoi chi co mot minh"
"5 Phương Thức Ghi Nhận Nỗ Lực Của Nhân Viên","Kinh doanh - Kinh tế","5 phuong thuc ghi nhan no luc cua nhan vien"
"5 sai lầm thường gặp trong đầu tư","Kinh doanh - Kinh tế","5 sai lam thuong gap trong dau tu"
"5 Điểm Chết Trong Teamwork","Kỹ năng sống - Phát triển bản thân","5 diem chet trong teamwork"
"50 năm chié̂n thá̆ng Điện Biên Phủ và sự nghiệp đỏ̂i mới, phát triẻ̂n đá̂t nước, 1954-2004","Lịch sử","50 nam chien thang dien bien phu va su nghiep doi moi phat trien dat nuoc 1954 2004"
"50 năm phát triển sự nghiệp giáo dục và đào tạo (1945 - 1995)","Lịch sử","50 nam phat trien su nghiep giao duc va dao tao 1945 1995"
"50 năm văn học Việt Nam sau cách mạng tháng 8","Văn học - Thơ - Tản văn","50 nam van hoc viet nam sau cach mang thang 8"
"50 điều trường học không dạy bạn","Kỹ năng sống - Phát triển bản thân","50 dieu truong hoc khong day ban"
